---- Graph coloring program ----
N: 500 int
118(C) 71(C) 0
488(C) 197(C) 0
444(C) 169(C) 0
342(C) 71(C) 0
22(C) 455(C) 0
319(C) 150(C) 0
13(C) 119(C) 0
293(C) 14(C) 0
60(C) 374(C) 0
249(C) 452(C) 0
117(C) 302(C) 0
123(C) 497(C) 0
19(C) 141(C) 0
94(C) 439(C) 0
107(C) 358(C) 0
99(C) 360(C) 0
340(C) 389(C) 0
259(C) 419(C) 0
206(C) 399(C) 0
335(C) 316(C) 0
3(C) 386(C) 0
441(C) 296(C) 0
498(C) 43(C) 0
221(C) 330(C) 0
94(C) 302(C) 0
215(C) 280(C) 0
148(C) 249(C) 0
186(C) 121(C) 0
489(C) 130(C) 0
36(C) 153(C) 0
442(C) 289(C) 0
185(C) 111(C) 0
463(C) 289(C) 0
69(C) 332(C) 0
255(C) 201(C) 0
395(C) 175(C) 0
172(C) 455(C) 0
158(C) 145(C) 0
257(C) 81(C) 0
78(C) 139(C) 0
148(C) 307(C) 0
326(C) 197(C) 0
133(C) 314(C) 0
467(C) 121(C) 0
482(C) 149(C) 0
297(C) 160(C) 0
461(C) 50(C) 0
419(C) 470(C) 0
35(C) 28(C) 0
327(C) 360(C) 0
437(C) 305(C) 0
58(C) 372(C) 0
320(C) 1(C) 0
161(C) 43(C) 0
487(C) 370(C) 0
96(C) 420(C) 0
421(C) 497(C) 0
279(C) 168(C) 0
183(C) 158(C) 0
375(C) 431(C) 0
27(C) 108(C) 0
2(C) 118(C) 0
5(C) 20(C) 0
63(C) 211(C) 0
178(C) 111(C) 0
189(C) 60(C) 0
426(C) 469(C) 0
396(C) 436(C) 0
142(C) 290(C) 0
192(C) 350(C) 0
9(C) 272(C) 0
259(C) 30(C) 0
237(C) 207(C) 0
312(C) 357(C) 0
260(C) 374(C) 0
58(C) 57(C) 0
203(C) 359(C) 0
475(C) 252(C) 0
29(C) 308(C) 0
224(C) 440(C) 0
274(C) 362(C) 0
416(C) 329(C) 0
334(C) 118(C) 0
475(C) 461(C) 0
18(C) 439(C) 0
439(C) 420(C) 0
472(C) 403(C) 0
155(C) 40(C) 0
491(C) 230(C) 0
196(C) 233(C) 0
65(C) 478(C) 0
294(C) 496(C) 0
141(C) 66(C) 0
57(C) 222(C) 0
270(C) 42(C) 0
90(C) 242(C) 0
297(C) 29(C) 0
155(C) 446(C) 0
155(C) 8(C) 0
351(C) 181(C) 0
400(C) 353(C) 0
126(C) 216(C) 0
396(C) 252(C) 0
170(C) 261(C) 0
319(C) 451(C) 0
241(C) 293(C) 0
433(C) 21(C) 0
38(C) 130(C) 0
189(C) 369(C) 0
60(C) 57(C) 0
168(C) 124(C) 0
387(C) 175(C) 0
95(C) 21(C) 0
172(C) 323(C) 0
53(C) 298(C) 0
237(C) 62(C) 0
254(C) 6(C) 0
40(C) 401(C) 0
335(C) 51(C) 0
4(C) 112(C) 0
474(C) 304(C) 0
380(C) 20(C) 0
57(C) 50(C) 0
487(C) 360(C) 0
486(C) 202(C) 0
325(C) 68(C) 0
237(C) 323(C) 0
463(C) 161(C) 0
355(C) 142(C) 0
309(C) 125(C) 0
454(C) 303(C) 0
453(C) 14(C) 0
49(C) 191(C) 0
292(C) 489(C) 0
469(C) 108(C) 0
339(C) 439(C) 0
171(C) 298(C) 0
226(C) 314(C) 0
445(C) 272(C) 0
61(C) 295(C) 0
365(C) 324(C) 0
104(C) 64(C) 0
143(C) 350(C) 0
489(C) 198(C) 0
417(C) 83(C) 0
201(C) 296(C) 0
275(C) 180(C) 0
199(C) 225(C) 0
319(C) 321(C) 0
293(C) 81(C) 0
372(C) 62(C) 0
417(C) 57(C) 0
387(C) 216(C) 0
465(C) 228(C) 0
68(C) 130(C) 0
219(C) 6(C) 0
367(C) 328(C) 0
123(C) 460(C) 0
113(C) 293(C) 0
474(C) 273(C) 0
449(C) 153(C) 0
97(C) 193(C) 0
88(C) 268(C) 0
388(C) 409(C) 0
261(C) 338(C) 0
461(C) 26(C) 0
286(C) 267(C) 0
365(C) 220(C) 0
120(C) 313(C) 0
454(C) 213(C) 0
155(C) 407(C) 0
106(C) 277(C) 0
327(C) 484(C) 0
304(C) 99(C) 0
310(C) 2(C) 0
362(C) 411(C) 0
456(C) 316(C) 0
316(C) 357(C) 0
320(C) 113(C) 0
263(C) 289(C) 0
468(C) 202(C) 0
32(C) 197(C) 0
320(C) 351(C) 0
137(C) 291(C) 0
419(C) 87(C) 0
87(C) 80(C) 0
274(C) 32(C) 0
285(C) 385(C) 0
63(C) 217(C) 0
475(C) 281(C) 0
178(C) 239(C) 0
471(C) 162(C) 0
338(C) 135(C) 0
396(C) 191(C) 0
45(C) 116(C) 0
343(C) 386(C) 0
8(C) 116(C) 0
98(C) 319(C) 0
317(C) 453(C) 0
35(C) 307(C) 0
122(C) 280(C) 0
340(C) 407(C) 0
123(C) 453(C) 0
422(C) 39(C) 0
33(C) 427(C) 0
468(C) 177(C) 0
172(C) 125(C) 0
392(C) 151(C) 0
109(C) 446(C) 0
82(C) 403(C) 0
130(C) 158(C) 0
74(C) 8(C) 0
32(C) 234(C) 0
232(C) 247(C) 0
61(C) 280(C) 0
120(C) 343(C) 0
263(C) 360(C) 0
160(C) 168(C) 0
432(C) 174(C) 0
448(C) 118(C) 0
319(C) 10(C) 0
9(C) 426(C) 0
36(C) 89(C) 0
262(C) 381(C) 0
161(C) 283(C) 0
286(C) 435(C) 0
475(C) 107(C) 0
5(C) 354(C) 0
319(C) 204(C) 0
257(C) 188(C) 0
18(C) 427(C) 0
242(C) 446(C) 0
158(C) 495(C) 0
242(C) 43(C) 0
376(C) 463(C) 0
486(C) 445(C) 0
254(C) 360(C) 0
338(C) 458(C) 0
485(C) 201(C) 0
56(C) 448(C) 0
51(C) 72(C) 0
13(C) 178(C) 0
1(C) 75(C) 0
150(C) 296(C) 0
409(C) 50(C) 0
328(C) 147(C) 0
100(C) 258(C) 0
47(C) 284(C) 0
459(C) 8(C) 0
200(C) 73(C) 0
375(C) 32(C) 0
218(C) 26(C) 0
255(C) 101(C) 0
238(C) 124(C) 0
487(C) 412(C) 0
45(C) 188(C) 0
459(C) 345(C) 0
240(C) 38(C) 0
132(C) 28(C) 0
299(C) 419(C) 0
323(C) 390(C) 0
265(C) 115(C) 0
428(C) 350(C) 0
293(C) 189(C) 0
382(C) 149(C) 0
191(C) 215(C) 0
144(C) 15(C) 0
46(C) 493(C) 0
246(C) 302(C) 0
259(C) 440(C) 0
419(C) 111(C) 0
168(C) 133(C) 0
188(C) 210(C) 0
23(C) 220(C) 0
232(C) 422(C) 0
471(C) 192(C) 0
426(C) 110(C) 0
361(C) 383(C) 0
74(C) 349(C) 0
159(C) 427(C) 0
65(C) 230(C) 0
362(C) 79(C) 0
499(C) 381(C) 0
471(C) 139(C) 0
381(C) 26(C) 0
127(C) 175(C) 0
100(C) 294(C) 0
258(C) 54(C) 0
340(C) 274(C) 0
432(C) 369(C) 0
477(C) 6(C) 0
255(C) 12(C) 0
131(C) 196(C) 0
172(C) 303(C) 0
9(C) 202(C) 0
98(C) 403(C) 0
51(C) 22(C) 0
93(C) 425(C) 0
491(C) 191(C) 0
148(C) 184(C) 0
409(C) 41(C) 0
320(C) 360(C) 0
203(C) 160(C) 0
53(C) 157(C) 0
260(C) 436(C) 0
496(C) 165(C) 0
237(C) 216(C) 0
465(C) 26(C) 0
422(C) 443(C) 0
440(C) 149(C) 0
484(C) 152(C) 0
36(C) 342(C) 0
422(C) 52(C) 0
312(C) 107(C) 0
171(C) 87(C) 0
336(C) 35(C) 0
413(C) 153(C) 0
315(C) 289(C) 0
45(C) 325(C) 0
351(C) 150(C) 0
100(C) 419(C) 0
17(C) 380(C) 0
178(C) 398(C) 0
484(C) 31(C) 0
391(C) 122(C) 0
268(C) 42(C) 0
155(C) 460(C) 0
